s	t	LFC	p.value
YIL036W	YBR010W	-2.20548583864	1.60393293193e-31
YMR042W	YCR021C	2.88185987826	7.28010673207e-05
YJR060W	YCR021C	2.65492839344	0.00032486024474
YGL166W	YCR021C	3.12650682221	1.15425843641e-05
YOR298C-A	YCR021C	2.53493641115	0.000745353580361
YCR106W	YCR021C	2.52865776475	0.000775094477277
YMR182C	YCR021C	3.14749799774	9.79855971966e-06
YIL119C	YCR021C	2.57730272224	0.000570325760815
YGR056W	YCR021C	3.01492273287	2.50133043351e-05
YDL042C	YCR021C	2.50413198991	0.00090281541677
YPR054W	YCR021C	2.65753436494	0.000340143891339
YDL048C	YCR021C	2.78728345544	0.000141542338057
YOR229W	YCR021C	2.97887734212	3.57015610913e-05
YDR451C	YCR021C	2.74325181462	0.000191695059646
YLR278C	YCR021C	3.10767096179	1.33795281899e-05
YPR196W	YCR021C	2.50323970722	0.000907979123864
YER109C	YCR021C	3.21460780076	7.52344619131e-06
YMR021C	YCR021C	2.62024663347	0.000517706844253
YER130C	YCR021C	2.99918162805	3.88995407289e-05
YER184C	YCR021C	2.91868055886	6.97561985209e-05
YMR043W	YCR021C	3.25314268864	4.24140460372e-07
YLR403W	YDR012W	-2.13161939932	1.40472275271e-25
YIL036W	YDR012W	-2.72503181369	1.07930497639e-36
YOL148C	YDR072C	-2.01245588004	8.94410894303e-43
YPR065W	YDR044W	2.80324267739	3.01091839825e-61
YHL025W	YDR380W	-2.21386142425	2.76762421666e-29
YNL236W	YDR444W	-2.83147439599	3.0869133193e-10
YOR290C	YDR444W	-2.02988670939	1.79670193165e-05
YHL025W	YDR444W	-2.70585989163	2.08427786838e-09
YPL075W	YDR444W	2.20860964088	0.000964056598751
YHL025W	YGL238W	-2.17657744808	1.47675819445e-28
YHL025W	YHL050C	-2.13319341062	1.90535389504e-24
YIL084C	YHR005C	-2.17915819882	1.71381386483e-31
YIL084C	YJR026W	-2.59772295996	9.88832224711e-19
YDL042C	YJR026W	-3.23119701736	5.33439845198e-27
YPL254W	YJR026W	-2.93002046133	1.19359631903e-22
YNL236W	YJR026W	-4.09229023231	5.1312877167e-38
YOR290C	YJR026W	-4.72129405185	2.71208565986e-46
YBR289W	YJR026W	-4.40907873905	3.316685237e-42
YHL025W	YJR026W	-5.72998639714	3.34409553422e-59
YOL148C	YJR026W	-4.60079481461	9.98335506296e-45
YJL176C	YJR026W	-4.87714778653	2.54152521345e-48
YCR084C	YJR026W	-3.98092683345	4.68121741279e-46
YDR392W	YJR026W	-2.26470099468	0.000106397588408
YIL084C	YJR028W	-2.75807258721	1.34539808336e-19
YDL042C	YJR028W	-3.50541552429	3.99705580421e-29
YBR083W	YJR028W	-2.07282750017	6.97879683382e-12
YPL254W	YJR028W	-2.94523703149	1.30561921976e-21
YNL236W	YJR028W	-4.15152864801	5.50432596555e-37
YOR290C	YJR028W	-4.85991649842	5.10008409337e-46
YBR289W	YJR028W	-4.42806839928	1.54078639953e-40
YHL025W	YJR028W	-5.70091134858	1.83787744715e-56
YOL148C	YJR028W	-4.79372969633	3.45894910899e-45
YJL176C	YJR028W	-4.94925481227	3.92514281243e-47
YCR084C	YJR028W	-4.13565189503	2.42455539063e-46
YDR392W	YJR028W	-2.28798444891	2.97654704273e-05
YIL036W	YJR094W.A	-2.06981412543	4.52490366873e-24
YGL237C	YLR286C	-4.25800320953	4.8900677835e-44
YKL109W	YLR286C	-2.67559355301	1.69282240847e-21
YIL036W	YLR286C	-2.71985599089	8.25274980742e-22
YPL254W	YLR286C	-2.8620105472	9.94827816513e-24
YOL148C	YLR286C	-3.0415186129	3.50325669879e-26
YLR131C	YLR286C	-5.05268574861	8.75523255683e-17
YGL073W	YLR286C	-3.21763655556	3.28912196319e-08
YIL084C	YLR227W.A	-2.76343858488	4.18227422844e-19
YDL042C	YLR227W.A	-3.42668825608	2.2997617234e-27
YPL254W	YLR227W.A	-3.18831442054	5.83673560847e-24
YNL236W	YLR227W.A	-4.18052197511	1.85391486997e-36
YOR290C	YLR227W.A	-4.77708636112	5.75201785186e-44
YBR289W	YLR227W.A	-4.31970215698	3.21177026102e-38
YHL025W	YLR227W.A	-5.30295513235	1.86074958642e-50
YOL148C	YLR227W.A	-4.5732207325	2.03655300263e-41
YJL176C	YLR227W.A	-4.77621231257	5.88805258802e-44
YCR084C	YLR227W.A	-4.23018935884	1.09798944481e-46
YDR392W	YLR227W.A	-2.21792513406	0.00011468003897
YNL216W	YLR227W.A	2.01299748758	0.00011939342629
YIL084C	YMR050C	-2.78068747816	3.65964922286e-24
YDL042C	YMR050C	-3.36808018137	8.39957552777e-33
YPL254W	YMR050C	-2.54052932795	1.57364788173e-20
YNL236W	YMR050C	-2.58130941423	4.34302272487e-21
YOR290C	YMR050C	-4.23223629506	9.48760309114e-45
YBR289W	YMR050C	-3.66328533062	1.4427004189e-36
YHL025W	YMR050C	-4.53794316849	4.42581028821e-49
YOL148C	YMR050C	-3.68413179806	7.17270271253e-37
YJL176C	YMR050C	-4.23516036457	8.61321811651e-45
YCR084C	YMR050C	-3.43175256236	3.32186185699e-42
YDL106C	YML123C	-5.70403997019	7.35332994541e-96
YPL254W	YML123C	-2.1730281313	1.66602033293e-28
YOL148C	YML123C	-2.06816907023	2.3378633296e-26
YNL216W	YML123C	-2.38958199354	5.70123673048e-07
YMR021C	YMR022W	-2.09655568432	1.31272521946e-40
YIR033W	YOL052C.A	3.18241474033	2.63615488413e-48
YLR039C	YOL052C.A	2.24269135921	2.96032098032e-29
YIL036W	YOL052C.A	3.7085446069	1.41094022873e-57
YDR363W	YOL052C.A	2.12060949206	7.88843243881e-09
YPL075W	YOL052C.A	3.36098362538	1.39027728257e-08
YGL073W	YOL052C.A	2.65225660142	2.11904846044e-07
YBR049C	YOL052C.A	2.25153439114	1.30919752012e-06
YIL084C	YAR010C	-2.85271599266	1.09380007593e-26
YDL042C	YAR010C	-3.42481753998	1.70423786483e-35
YBR083W	YAR010C	-2.01180835514	7.51395584065e-15
YPL254W	YAR010C	-3.13156749797	1.60620325524e-30
YNL236W	YAR010C	-2.99376075758	1.86506643045e-28
YOR290C	YAR010C	-3.63626633479	4.01425554987e-38
YBR289W	YAR010C	-3.8888076991	6.84797934986e-42
YHL025W	YAR010C	-4.83562494596	1.04978476815e-55
YOL148C	YAR010C	-4.34699697185	1.21218712682e-48
YJL176C	YAR010C	-4.58941573118	3.71465278583e-52
YCR084C	YAR010C	-3.71851373873	2.54139639269e-49
YDR392W	YAR010C	-2.06369693164	2.38738277098e-05
YKR099W	YAR015W	-2.45743071708	3.19206356055e-49
YDL106C	YAR015W	-2.11114900314	1.86504459282e-40
YBR195C	YBR195C	-2.00211697217	6.46559899299e-69
YMR043W	YBR169C	2.12508536321	4.32998750879e-07
YDL070W	YDL070W	-2.5085556829	1.4198672904e-55
YOL051W	YDL133C.A	2.01401589039	4.44403687341e-07
YPL248C	YDL133C.A	2.03814261606	3.66019664356e-07
YNL216W	YDL133C.A	-2.05646124292	1.51840023736e-06
YIL038C	YDR198C	2.83269113643	1.28150615995e-27
YIL084C	YGR161C.C	-2.95580403779	2.62260146199e-21
YDL042C	YGR161C.C	-3.70032400783	1.02204141855e-30
YBR083W	YGR161C.C	-2.14825086866	3.12685916474e-12
YPL254W	YGR161C.C	-2.87411477737	4.66742420889e-20
YNL236W	YGR161C.C	-4.52878806216	1.08652518804e-40
YOR290C	YGR161C.C	-4.78791972435	6.25099756462e-44
YBR289W	YGR161C.C	-4.19278980079	1.84642326968e-36
YHL025W	YGR161C.C	-5.57484852955	1.39647061195e-53
YOL148C	YGR161C.C	-4.72165275981	4.27263793659e-43
YJL176C	YGR161C.C	-4.66472971567	2.1595999294e-42
YCR084C	YGR161C.C	-4.06068938662	4.81036189751e-44
YDR392W	YGR161C.C	-2.04295564483	0.000204977926414
YIL084C	YGR161W.A	-2.66454550217	9.99655742137e-20
YDL042C	YGR161W.A	-3.36139804414	5.80797551141e-29
YJL127C	YGR161W.A	2.1911990344	4.4387563665e-14
YPL254W	YGR161W.A	-2.30407057315	4.11817425018e-15
YNL236W	YGR161W.A	-3.37708348661	1.07883698871e-28
YOR290C	YGR161W.A	-3.81441917875	1.46794323593e-34
YBR289W	YGR161W.A	-3.09906273206	5.00289193965e-25
YHL025W	YGR161W.A	-4.04294473837	1.26496800316e-37
YOL148C	YGR161W.A	-3.71518701149	3.16086033672e-33
YJL176C	YGR161W.A	-4.03028165744	1.87636871245e-37
YCR084C	YGR161W.A	-3.37191044337	7.93063608952e-37
YPL075W	YGR161W.A	2.36408040242	3.00401278208e-05
YMR043W	YKL051W	2.07692776435	4.41580077842e-08
YIL036W	YKL056C	-2.13754813281	1.41001479134e-39
YIL036W	YLR441C	-2.09742767994	7.36217545547e-42
YIR033W	YMR170C	2.28831016447	5.13698253887e-67
YIL084C	YNL284C.A	-2.82721816582	1.31975568736e-22
YDL042C	YNL284C.A	-3.48602306439	1.0776326671e-31
YPL254W	YNL284C.A	-2.91303388923	1.89252560738e-23
YNL236W	YNL284C.A	-3.85202082752	3.25730203851e-36
YOR290C	YNL284C.A	-4.23433316231	2.0039066729e-41
YBR289W	YNL284C.A	-3.79428899255	2.01608598211e-35
YHL025W	YNL284C.A	-4.82874959858	2.11158789466e-49
YOL148C	YNL284C.A	-4.10138872267	1.28343279259e-39
YJL176C	YNL284C.A	-4.3446102929	6.47840036501e-43
YCR084C	YNL284C.A	-3.8679639207	6.16240448117e-46
YDR392W	YNL284C.A	-2.14810849255	7.41403891363e-05
YCR084C	YOR009W	2.52351365361	1.57245605536e-78
YNL027W	YOR385W	-2.43420863259	3.94405022146e-08
YOL004W	YOR385W	-2.23219118755	1.86474295249e-09
YCR084C	YOR385W	-2.04738218248	7.11711136147e-08
YHL027W	YOR389W	3.12596982449	9.06441260537e-94
YIL036W	YBL092W	-2.38268132073	1.47618432945e-37
YJL127C	YBR009C	-2.16365687649	2.4394973992e-28
YIL036W	YBR009C	-2.39574098766	1.25442392547e-32
YGL073W	YBR009C	-2.34728245536	2.49155044596e-07
YIL084C	YBR012W.A	-2.86502038551	1.28831050983e-19
YDL042C	YBR012W.A	-3.48839915008	3.01621647663e-27
YLR442C	YBR012W.A	-2.00764699038	1.83848186878e-10
YPL254W	YBR012W.A	-2.98519757606	9.32123819943e-21
YNL236W	YBR012W.A	-4.53110457215	1.00643846175e-39
YOR290C	YBR012W.A	-4.71395455741	5.7074433679e-42
YBR289W	YBR012W.A	-3.78045382498	2.15263315244e-30
YHL025W	YBR012W.A	-4.93620011375	1.06691400682e-44
YOL148C	YBR012W.A	-4.26950691082	1.7524451427e-36
YJL176C	YBR012W.A	-4.51027342765	1.78669291531e-39
YCR084C	YBR012W.A	-3.75916998522	1.30262885459e-38
YDR392W	YBR012W.A	-2.16719498818	5.59518458617e-05
YIL084C	YCR018C.A	-2.42548347664	1.65646128915e-25
YDL042C	YCR018C.A	-2.3071044189	1.25427061749e-23
YOR290C	YCR018C.A	-2.72569035735	2.71593030818e-30
YBR289W	YCR018C.A	-2.38791911993	1.45756553579e-24
YJL176C	YCR018C.A	-2.64536555474	6.4412530862e-29
YCR084C	YCR018C.A	-2.13729331345	7.27696802598e-27
YHR041C	YCL064C	-2.45345641888	1.62503899622e-45
YLR098C	YCL064C	-2.85562047279	2.15995355593e-54
YPL075W	YCL064C	-2.43032779675	2.11538538868e-08
YJL176C	YDR043C	2.01135054758	7.43867568162e-29
YMR043W	YER150W	3.69621491491	4.72610096988e-09
YOL068C	YJR025C	2.30192483288	8.80421372077e-53
YDR310C	YJR025C	2.43306706995	9.27198641291e-57
YIL084C	YJR027W	-2.53294034828	8.61497673124e-26
YDL042C	YJR027W	-2.60793822273	3.85170721809e-27
YPL254W	YJR027W	-2.17031121211	1.021773577e-19
YOR290C	YJR027W	-3.30988172479	2.62342461144e-38
YBR289W	YJR027W	-2.79366970146	9.66644797835e-30
YHL025W	YJR027W	-3.18404360743	3.15259252028e-36
YOL148C	YJR027W	-2.9779373022	8.43647507023e-33
YJL176C	YJR027W	-3.59610711525	5.23766562136e-43
YCR084C	YJR027W	-2.94322000984	4.63953722313e-41
YIL084C	YJR029W	-2.47057538986	3.76525792101e-25
YDL042C	YJR029W	-2.81836845162	4.35388511222e-31
YPL254W	YJR029W	-2.25623847277	2.18504081371e-21
YOR290C	YJR029W	-3.63165495073	3.8268022584e-44
YBR289W	YJR029W	-3.32420190085	4.60164571802e-39
YHL025W	YJR029W	-3.44376009825	4.83253903965e-41
YOL148C	YJR029W	-2.82745597987	9.76785705312e-31
YJL176C	YJR029W	-3.94718192427	2.63836091628e-49
YCR084C	YJR029W	-3.14222312747	1.84594713445e-45
YIL084C	YLR256W.A	-2.65405591005	6.5006411849e-22
YDL042C	YLR256W.A	-3.33325717677	1.11100903922e-31
YPL254W	YLR256W.A	-2.89831490962	5.26595757224e-25
YNL236W	YLR256W.A	-3.40464931453	3.4216328065e-32
YOR290C	YLR256W.A	-3.7063580953	1.59602716346e-36
YBR289W	YLR256W.A	-3.28243328725	1.93491667072e-30
YHL025W	YLR256W.A	-4.25694415244	2.40363052923e-44
YOL148C	YLR256W.A	-3.50437545376	1.25660355302e-33
YJL176C	YLR256W.A	-3.92057812365	1.37013190279e-39
YCR084C	YLR256W.A	-3.8411958809	2.82602388238e-48
YDR392W	YLR256W.A	-2.03692993109	0.000142956406278
YIL084C	YMR051C	-2.71827118565	1.26409098666e-18
YDL042C	YMR051C	-3.1993871677	1.40304313885e-24
YPL254W	YMR051C	-2.78984125633	3.24087285971e-19
YNL236W	YMR051C	-4.24829482447	2.09958743502e-37
YOR290C	YMR051C	-4.52057245069	7.58083369095e-41
YBR289W	YMR051C	-3.80357930885	9.52028001222e-32
YHL025W	YMR051C	-4.68089509161	7.2798969212e-43
YOL148C	YMR051C	-4.17994622465	1.55373296896e-36
YJL176C	YMR051C	-4.55686030049	2.64257057376e-41
YCR084C	YMR051C	-3.88687435236	9.62166552966e-42
YIL084C	YNL054W.A	-2.37127050493	9.90273017481e-24
YDL042C	YNL054W.A	-2.58153203667	2.48276989107e-27
YPL254W	YNL054W.A	-2.07612922296	9.72026065242e-19
YOR290C	YNL054W.A	-2.71670611054	3.97988120625e-29
YBR289W	YNL054W.A	-2.0874177628	6.49233641405e-19
YHL025W	YNL054W.A	-2.47352685161	4.24748408278e-25
YOL148C	YNL054W.A	-2.42888243248	2.27650535596e-24
YJL176C	YNL054W.A	-2.64943972234	5.27320241176e-28
YCR084C	YNL054W.A	-2.18758905334	6.38172886827e-27
YOR230W	YOR230W	-5.80830948309	7.36204778916e-96
YNL216W	YOR234C	-2.44205141269	1.34897268084e-07
YIL036W	YPL249C.A	-2.17075906439	4.3976690627e-34
YNL236W	YAL012W	-2.00783487621	6.47222327705e-20
YIL084C	YAR009C	-2.39229360232	3.65906582458e-21
YDL042C	YAR009C	-2.80580409894	1.44013496115e-27
YPL254W	YAR009C	-2.01562497758	1.54745447827e-15
YOR290C	YAR009C	-3.20534871494	2.58407694917e-33
YBR289W	YAR009C	-3.02219359882	1.8636519909e-30
YHL025W	YAR009C	-2.93214488903	4.65692567845e-29
YOL148C	YAR009C	-2.66866791766	5.07126940903e-25
YJL176C	YAR009C	-3.3165951872	4.72258743019e-35
YCR084C	YAR009C	-2.70428982323	3.77041837956e-33
YPL075W	YBR196C	-2.21910347091	8.77706801453e-08
YNL216W	YBR196C	-2.64388274699	1.15647307614e-08
YJL176C	YBR230C	2.5735296618	9.76305845388e-42
YGL073W	YDR225W	-2.22037073643	7.94253559864e-07
YNL236W	YGL014W	-3.02399071075	8.10993285879e-36
YHL025W	YGL014W	-2.23809156889	2.38315997163e-22
YJL176C	YGR161C	2.47305214264	2.89271841782e-52
YIL084C	YGR161C.D	-2.66800907964	3.20623834831e-26
YDL042C	YGR161C.D	-3.1237323007	1.22988468098e-33
YLR442C	YGR161C.D	-2.07155190426	2.99915770261e-17
YPL254W	YGR161C.D	-2.57416341259	1.92617811801e-24
YOR290C	YGR161C.D	-3.54883929806	7.3642938989e-40
YBR289W	YGR161C.D	-3.32258337935	2.80904207258e-36
YHL025W	YGR161C.D	-2.82668726906	2.20643327768e-28
YOL148C	YGR161C.D	-2.81932528695	2.88257218117e-28
YJL176C	YGR161C.D	-3.97202302835	1.78044399375e-46
YCR084C	YGR161C.D	-2.82053143579	1.98316304638e-36
YMR042W	YJL088W	2.38702785778	1.64527612755e-38
YML099C	YJL088W	2.53741492043	8.70378523011e-42
YDR207C	YJL088W	2.20444467462	1.76480015064e-34
YIL036W	YKL081W	-2.63170167045	4.54748377061e-25
YNL236W	YKL081W	-3.26960074388	4.2821098242e-35
YHL025W	YKL081W	-2.15212650979	6.83400963621e-18
YIL084C	YLR035C.A	-2.85381191343	7.56371455863e-25
YDL042C	YLR035C.A	-3.53458458265	8.41758642849e-35
YLR442C	YLR035C.A	-2.36563314989	3.10687034999e-18
YBR083W	YLR035C.A	-2.09967481693	8.56924596619e-15
YPL254W	YLR035C.A	-2.41234986253	1.61328898795e-18
YNL236W	YLR035C.A	-2.92767578506	1.43508437992e-25
YOR290C	YLR035C.A	-3.83833055803	1.26829244188e-38
YBR289W	YLR035C.A	-3.49068061444	1.26695766943e-33
YHL025W	YLR035C.A	-3.98641667681	9.76723589281e-41
YOL148C	YLR035C.A	-3.20563023361	1.61556970365e-29
YJL176C	YLR035C.A	-3.93077484987	6.12099439341e-40
YCR084C	YLR035C.A	-3.08894497661	6.52236961864e-36
YMR042W	YLR438W	-2.54894510471	1.18811450948e-37
YML099C	YLR438W	-2.3030938074	2.83630473034e-32
YIL084C	YLR410W.A	-2.61875743344	2.16457869625e-19
YDL042C	YLR410W.A	-3.19538453248	4.79937091954e-27
YJL127C	YLR410W.A	2.03076987845	1.94655138992e-12
YPL254W	YLR410W.A	-2.40105687589	1.83927585377e-16
YNL236W	YLR410W.A	-3.58495046901	7.9244014479e-32
YOR290C	YLR410W.A	-3.57915174155	9.47357400243e-32
YBR289W	YLR410W.A	-3.02633316751	2.27650535596e-24
YHL025W	YLR410W.A	-3.89878053933	4.44084402918e-36
YOL148C	YLR410W.A	-3.57386744442	1.11294509644e-31
YJL176C	YLR410W.A	-3.74262627561	5.81196759178e-34
YCR084C	YLR410W.A	-3.01637561363	1.54527831508e-31
YIR033W	YMR169C	2.67567287972	4.2596700192e-67
YNL199C	YOR040W	2.0534389168	1.36987622889e-13
YNR010W	YOR010C	2.08370109637	7.01568879279e-13
YMR070W	YOR010C	2.08180032707	8.57179671835e-13
YPR065W	YOR010C	2.50273650781	9.68726807105e-18
YHR041C	YOR010C	2.75557298311	3.87206159045e-21
YJL176C	YOR010C	2.35371764914	1.02384205873e-15
YCR084C	YOR010C	2.28684047991	5.83978438802e-20
YCR084C	YCR084C	-2.92889692491	2.33160909669e-61
YHL020C	YDR502C	2.25924554918	8.53640996386e-49
YPL075W	YDR502C	-2.16508771992	1.11583510934e-07
YCR084C	YFL020C	3.46535399415	5.38684704912e-106
YOR290C	YGR038C.B	-2.34920991519	2.16557328732e-40
YBR289W	YGR038C.B	-2.52165458963	1.6199220968e-44
YHL025W	YGR038C.B	-2.20643714247	6.12315531718e-37
YOL148C	YGR038C.B	-2.27139725331	1.63456337711e-38
YJL176C	YGR038C.B	-2.74459028501	8.70024914888e-50
YCR084C	YGR038C.B	-2.28105849237	1.27609189038e-48
YLR176C	YJL026W	3.97685852625	5.89453187235e-78
YJL176C	YJL026W	3.19689360643	3.22959497087e-60
YCR084C	YJL026W	2.00859821853	5.88564000394e-41
YER040W	YJL026W	2.3727649685	1.84280500783e-11
YPL129W	YJL026W	2.2700452338	4.28943348685e-11
YIL036W	YLR344W	-2.1093635741	7.30523865056e-34
YNL216W	YLR344W	-2.67811496734	4.91982303991e-09
YPL254W	YOL086C	-2.96756462866	1.88519725048e-37
YNL236W	YOL086C	-2.42400004931	1.46790639375e-27
YHL025W	YOL086C	-2.2215779776	5.83673560847e-24
YOL148C	YOL086C	-3.28024828508	4.30561383416e-43
YPL075W	YOL086C	-3.34219064785	5.57070605771e-10
YNL216W	YOL086C	-2.5471225991	1.36495028882e-08
YNL167C	YOL150C	2.00685606056	7.29420947742e-36
YHL027W	YPL278C	2.88772367958	1.19074699306e-76
YIL036W	YBL003C	-2.44334537902	2.80117358889e-39
YGL073W	YBL003C	-2.53006321579	3.87524502205e-06
YDR207C	YBL064C	2.05503218367	2.70562538323e-45
YJL176C	YBL064C	2.57395431024	2.89795382091e-59
YBR033W	YBR291C	2.33533749986	2.01113154849e-62
YNL236W	YER036C	-2.58168058356	6.1910539815e-40
YHL025W	YER036C	-2.1557260897	1.30092860528e-30
YNL199C	YGR254W	-2.01090890047	2.85980980785e-20
YNL236W	YGR254W	-2.81896491076	5.57163570162e-34
YOR290C	YGR254W	-2.22963843952	1.60824731088e-23
YPL075W	YGR254W	-5.2714286712	2.08740369459e-11
YNL216W	YGR254W	-2.0019403123	1.62307070855e-06
YPL075W	YGR192C	-3.17031110868	2.3712113718e-09
YIL084C	YHR214C.B	-2.394403211	3.38193610222e-22
YDL042C	YHR214C.B	-2.45951566475	2.57022088712e-23
YOR290C	YHR214C.B	-3.69997483706	1.33750257972e-42
YBR289W	YHR214C.B	-3.395308341	9.32245327216e-38
YHL025W	YHR214C.B	-3.45227823769	1.14852532452e-38
YOL148C	YHR214C.B	-2.94178735637	1.72205315599e-30
YJL176C	YHR214C.B	-3.8433388004	7.49739518188e-45
YCR084C	YHR214C.B	-3.23224220275	1.83313848505e-44
YIL084C	YHR214W	2.16493389954	4.18054336896e-33
YIR033W	YHR215W	-2.3270809405	4.85600272759e-32
YDL106C	YHR215W	-2.90295222824	5.05184743314e-44
YLR403W	YHR215W	-2.91504768416	4.69808949798e-44
YIL036W	YHR215W	-2.99635463403	4.53603389854e-45
YPL254W	YHR215W	-3.3119032095	2.19951452654e-51
YOR290C	YHR215W	-3.29527335872	4.70905639214e-51
YHL025W	YHR215W	-2.21079850813	5.79575873686e-29
YOL148C	YHR215W	-3.52943135104	1.11905378164e-55
YJL176C	YHR215W	-3.27792748467	1.05551125718e-50
YPL075W	YHR215W	-2.97558004036	1.20721913758e-07
YGL073W	YHR215W	-3.01723699012	1.02837295713e-07
YMR043W	YHR215W	-3.24155115809	4.5199582082e-08
YNL216W	YHR215W	-3.47519060553	2.01865350897e-08
YIL084C	YIL060W	-2.07736359899	1.70320121587e-19
YOR290C	YIL060W	-2.06597455014	4.61991936278e-19
YJL176C	YIL060W	-2.01280154208	3.17757556347e-18
YCR084C	YIL060W	-2.04835576887	8.18846090293e-25
YIR033W	YJL153C	2.5264358679	1.08391686412e-34
YHL020C	YJL153C	7.04217907298	2.61872520306e-111
YOL004W	YJL153C	2.9562277515	1.07251503093e-53
YDR207C	YJL153C	5.11485376756	3.80072043513e-83
YIL036W	YJL153C	4.32274498061	2.10506356812e-68
YER040W	YJL153C	2.83616449595	1.60178336605e-15
YPL129W	YJL153C	2.62798212999	7.47679403627e-15
YCR084C	YJL223C	2.63019317172	1.05722667716e-73
YER045C	YKL178C	-2.24348133527	1.5167047733e-10
YLR131C	YKL178C	-2.14675870982	3.45922020923e-10
YDR421W	YKL178C	-2.45313332355	2.80959275472e-11
YMR280C	YKL178C	-2.15216518908	3.30261042148e-10
YLR418C	YKL178C	-2.22574988414	1.75742146206e-10
YOR028C	YKL178C	-2.35454989216	6.1214374267e-11
YPL177C	YKL178C	-2.54382469102	1.40185629648e-11
YDR363W	YKL178C	-2.59075047646	9.90755955751e-12
YOL051W	YKL178C	-2.13371860995	3.87824288406e-10
YPL248C	YKL178C	-2.64124487388	6.80530735935e-12
YEL009C	YKL178C	-2.43072815702	3.34144371258e-11
YER040W	YKL178C	-2.25587975952	4.1346148924e-11
YOR358W	YKL178C	-2.12002971509	1.331866076e-10
YEL056W	YKL178C	-2.40337027082	1.23442075844e-11
YOR032C	YKL178C	-2.48033629443	6.71614586657e-12
YOR304W	YKL178C	-2.18480271742	7.58483057694e-11
YCL055W	YKL178C	-2.49074730991	6.2039717975e-12
YKL043W	YKL178C	-2.56924353574	3.41196295836e-12
YOR363C	YKL178C	-2.4456542075	8.83059099386e-12
YKL015W	YKL178C	-2.25062000362	4.3210236401e-11
YPL133C	YKL178C	-2.34461876404	1.97884650464e-11
YKL038W	YKL178C	-2.27670487114	3.46688191433e-11
YOR191W	YKL178C	-2.29354858342	3.01733498698e-11
YNL330C	YKL178C	-2.31306362546	2.56543706333e-11
YHR154W	YKL178C	-2.18488296856	7.58044487843e-11
YHR206W	YKL178C	-2.21668624962	5.75926463632e-11
YDR392W	YKL178C	-2.24682007423	4.36309990247e-12
YHR178W	YKL178C	-2.41654013107	1.11278317789e-11
YDR146C	YKL178C	-2.33045710112	2.22397234849e-11
YPL129W	YKL178C	-2.331020199	2.21349268814e-11
YBR240C	YKL178C	-2.55036870713	3.92970747293e-12
YLR136C	YKL178C	-2.43597478964	9.53783106689e-12
YOR344C	YKL178C	-2.33165340497	2.20209933216e-11
YHL009C	YKL178C	-2.27673219176	3.46661775509e-11
YMR273C	YKL178C	-2.3556517375	1.80970298227e-11
YIL036W	YKL180W	-2.60850174954	1.22033926551e-48
YNL236W	YLR162W	-2.55100775775	7.11907314003e-05
YCR084C	YLR162W	-2.8419386148	3.54992029998e-08
YKL112W	YLR162W	4.42993929755	1.88984029911e-05
YPL075W	YLR162W	4.03561025162	4.83805201082e-05
YNL236W	YLR134W	-2.64079683324	1.47466821091e-28
YIL036W	YPL090C	-2.01186800276	6.40469610808e-36
YNL216W	YPL090C	-2.1486730763	6.88693574801e-07
YIR033W	YFL014W	3.7864176841	7.66603540958e-64
YLR039C	YFL014W	2.89851539367	1.11554590851e-45
YJL127C	YFL014W	3.41128490465	4.61867665855e-56
YIL036W	YFL014W	2.78554891042	1.80058519522e-42
YCR084C	YFL014W	2.54784413853	4.01860732128e-47
YDR363W	YFL014W	3.03706291008	1.18687570687e-15
YFL031W	YFL031W	-5.06661799226	7.29965412701e-64
YNL236W	YFL031W	-3.87965299813	2.97789662685e-45
YOR290C	YFL031W	-2.21494181064	4.01754390132e-19
YHL025W	YFL031W	-3.29509350136	5.13655406334e-36
YDR463W	YBR069C	-2.36842034193	1.85479382939e-36
YPL254W	YBR069C	-2.11701448664	2.56846057384e-30
YNL236W	YBR069C	-2.00204670061	8.78827337491e-28
YHL025W	YBR069C	-2.42882034565	3.11274886988e-37
YOL148C	YBR069C	-2.47845966185	2.4838926532e-38
YJL176C	YBR069C	-2.82565265254	6.33545831282e-46
YIL084C	YDR170W.A	-2.83349190907	3.00804670352e-19
YDL042C	YDR170W.A	-3.67098631036	1.61277490888e-29
YLR442C	YDR170W.A	-2.18457554107	3.28967670985e-12
YBR083W	YDR170W.A	-2.19878225513	2.35594360715e-12
YPL254W	YDR170W.A	-3.2220060924	1.44434885284e-23
YNL236W	YDR170W.A	-4.63359728239	5.55662945705e-41
YOR290C	YDR170W.A	-5.32809928951	1.93053230338e-49
YBR289W	YDR170W.A	-4.58216231758	2.37194812519e-40
YHL025W	YDR170W.A	-5.67691580824	1.31986776332e-53
YOL148C	YDR170W.A	-4.79906665944	5.2022132383e-43
YJL176C	YDR170W.A	-5.19352337422	8.35623684392e-48
YCR084C	YDR170W.A	-4.26531877469	6.16044481037e-46
YDR392W	YDR170W.A	-2.20938897706	0.000127234087192
YIL084C	YGR038C.A	-2.86896427105	1.2602219243e-19
YDL042C	YGR038C.A	-3.6679731934	1.96140188984e-29
YLR442C	YGR038C.A	-2.17320883374	4.50821262274e-12
YBR083W	YGR038C.A	-2.29806522729	2.34426380188e-13
YPL254W	YGR038C.A	-3.20999501799	2.20260120927e-23
YNL236W	YGR038C.A	-5.07794530641	2.42455539063e-46
YOR290C	YGR038C.A	-5.15697953693	2.71875533339e-47
