A	B	annotation1	annotation2
YJL187C	YGR108W	inhibition	phosphorylation
YJL187C	YPR119W	inhibition	phosphorylation
YNL298W	YLR362W	activation	phosphorylation
YOL113W	YLR362W	activation	phosphorylation
YDR144C	YGR014W	activation	NA
YLR120C	YGR014W	activation	NA
YDR099W	YHL007C	activation	NA
YER177W	YHL007C	activation	NA
YGR023W	YGR070W	activation	NA
YGR023W	YLR371W	activation	NA
YLR332W	YGR070W	activation	NA
YLR332W	YLR371W	activation	NA
YGR070W	YPR165W	activation	NA
YLR371W	YPR165W	activation	NA
YDR466W	YBL105C	activation	phosphorylation
YDR490C	YBL105C	activation	phosphorylation
YOL100W	YBL105C	activation	phosphorylation
YIL113W	YHR030C	inhibition	dephosphorylation
YMR036C	YBR160W	activation	dephosphorylation
YMR036C	YGR108W	activation	dephosphorylation
YMR036C	YPR119W	activation	dephosphorylation
YER155C	YPR165W	inhibition	NA
YDR389W	YPR165W	inhibition	NA
YLR182W	YGR032W	expression	NA
YLR182W	YLR342W	expression	NA
YLR182W	YMR306W	expression	NA
YBR279W	YGR032W	expression	NA
YBR279W	YLR342W	expression	NA
YBR279W	YMR306W	expression	NA
YLL021W	YOR231W	activation	NA
YLL021W	YPL140C	activation	NA
YLL021W	YHR030C	activation	NA
YAR019C	YGR092W	activation	phosphorylation
YAR019C	YIL106W	activation	phosphorylation
YAR019C	YOR373W	binding/association	NA
YHL007C	YBR083W	activation	indirect effect
