X1	X2	sign
YEL009C	YBL102W	1
YEL009C	YBL103C	1
YEL009C	YBR043C	1
YEL009C	YBR068C	1
YEL009C	YBR115C	1
YEL009C	YBR147W	1
YEL009C	YBR248C	1
YEL009C	YBR249C	1
YEL009C	YBR250W	1
YEL009C	YBR256C	1
YEL009C	YBR257W	1
YEL009C	YCL030C	1
YEL009C	YCR053W	1
YEL009C	YDL066W	1
YEL009C	YDL067C	1
YEL009C	YDL170W	1
YEL009C	YDL171C	1
YEL009C	YDL198C	1
YEL009C	YDR035W	1
YEL009C	YDR127W	1
YEL009C	YDR354W	1
YEL009C	YEL062W	1
YEL009C	YEL063C	1
YEL009C	YER039CA	1
YEL009C	YER039C	1
YEL009C	YER040W	1
YEL009C	YER052C	1
YEL009C	YER069W	1
YEL009C	YER085C	1
YEL009C	YER086W	1
YEL009C	YER089C	1
YEL009C	YER090W	1
YEL009C	YGL125W	1
YEL009C	YGL180W	1
YEL009C	YGL184C	1
YEL009C	YGL186C	1
YEL009C	YGR094W	1
YEL009C	YGR161C	1
YEL009C	YGR161WA	1
YEL009C	YGR161WB	1
YEL009C	YGR204W	1
YEL009C	YGR267C	1
YEL009C	YHR018C	1
YEL009C	YHR024C	1
YEL009C	YHR025W	1
YEL009C	YHR029C	1
YEL009C	YHR071W	1
YEL009C	YHR122W	1
YEL009C	YHR161C	1
YEL009C	YHR162W	1
YEL009C	YIL056W	1
YEL009C	YIL116W	1
YEL009C	YIL117C	1
YEL009C	YIL162W	1
YEL009C	YIL164C	1
YEL009C	YIR034C	1
YEL009C	YJL071W	1
YEL009C	YJL072C	1
YEL009C	YJL088W	1
YEL009C	YJL130C	1
YEL009C	YJL210W	1
YEL009C	YJL212C	1
YEL009C	YJR016C	1
YEL009C	YJR025C	1
YEL009C	YJR026W	1
YEL009C	YJR027W	1
YEL009C	YJR109C	1
YEL009C	YJR110W	1
YEL009C	YJR111C	1
YEL009C	YJR112W	1
YEL009C	YJR145C	1
YEL009C	YJR147W	1
YEL009C	YKL015W	1
YEL009C	YKL016C	1
YEL009C	YKL033WA	1
YEL009C	YKL101W	1
YEL009C	YKL103C	1
YEL009C	YKL210W	1
YEL009C	YKL211C	1
YEL009C	YLL004W	1
YEL009C	YLL005C	1
YEL009C	YLR266C	1
YEL009C	YLR267W	1
YEL009C	YLR355C	1
YEL009C	YLR356W	1
YEL009C	YLR451W	1
YEL009C	YML076C	1
YEL009C	YML116W	1
YEL009C	YMR062C	1
YEL009C	YMR063W	1
YEL009C	YMR095C	1
YEL009C	YMR096W	1
YEL009C	YMR135C	1
YEL009C	YMR136W	1
YEL009C	YMR188C	1
YEL009C	YMR189W	1
YEL009C	YMR194CB	1
YEL009C	YMR195W	1
YEL009C	YNL004W	1
YEL009C	YNL005C	1
YEL009C	YNL065W	1
YEL009C	YNL103W	1
YEL009C	YNL104C	1
YEL009C	YNL311C	1
YEL009C	YOL058W	1
YEL009C	YOL064C	1
YEL009C	YOL117W	1
YEL009C	YOL119C	1
YEL009C	YOL140W	1
YEL009C	YOR201C	1
YEL009C	YOR202W	1
