A	B	sign
YPL109C	YJL083W	NA
YPL140C	YDL053C	0
YOR267C	YER006W	0
YMR139W	YGL049C	0
YFR028C	YGR097W	1
YFR028C	YDL042C	1
YPL204W	YKL103C	0
YKL116C	YKL104C	0
YIL035C	YMR270C	0
YFR040W	YPR040W	NA
YGL215W	YCL028W	NA
YDL155W	YOR207C	NA
YER133W	YLR258W	1
YAR018C	YOL054W	0
YMR036C	YIL070C	1
YPL203W	YDL140C	0
YOR267C	YOR294W	0
YGL190C	YKL042W	NA
YPL203W	YML010W	0
YDL155W	YNL076W	NA
YAR018C	YOL083W	0
YJL187C	YGL106W	0
YNL298W	YDR162C	0
YMR291W	YCL043C	0
YBR274W	YDR439W	0
YCR079W	YNL071W	1
YPR120C	YJL157C	NA
YBR125C	YNL189W	1
YLR113W	YAR010C	0
YOR061W	YMR049C	0
YDL155W	YPL267W	NA
YOR119C	YOR039W	0
YGL180W	YPR049C	0
YJL095W	YOR201C	0
YJL128C	YOR201C	0
YPR120C	YGL090W	NA
YGL158W	YGR252W	0
YPL140C	YDR211W	0
YBL009W	YER155C	0
YJL095W	YEL055C	0
YOR061W	YKR010C	0
YLR096W	YMR124W	0
YGL158W	YFL024C	0
YBR028C	YER015W	0
YHR099W	YDR392W	NA
YIL045W	YIL070C	NA
YNL307C	YBR038W	0
YPL203W	YOR224C	0
YKL198C	YIL078W	0
YJR110W	YOR069W	NA
YPL204W	YBR140C	0
YNL207W	YNL047C	0
YGL158W	YER025W	0
YJL098W	YHL018W	NA
YIR026C	YPR164W	1
YGL134W	YPR115W	NA
YJR110W	YER006W	NA
YDL101C	YMR031C	0
YPL180W	YKL171W	NA
YGL158W	YJL176C	0
YPR161C	YDR515W	0
YJL164C	YGR186W	0
YNL161W	YKL142W	0
YHR099W	YBL103C	NA
YOR119C	YGL120C	0
YPL109C	YKL134C	NA
YPL140C	YDR388W	0
YER089C	YIL033C	1
YPL204W	YLL013C	0
YGR052W	YLR258W	0
YAR018C	YLR342W	0
YGL158W	YGL112C	0
YJL164C	YJL140W	0
YDL101C	YCR004C	0
YOR267C	YFR001W	0
YOR267C	YKR081C	0
YJL098W	YER155C	NA
YNL207W	YKL014C	0
YDL101C	YGR130C	0
YER133W	YML074C	1
YFL029C	YGR080W	0
YLR096W	YML006C	0
YPL042C	YMR131C	0
YOR267C	YGL115W	0
YDL028C	YDR383C	0
YDR490C	YML074C	0
YPL031C	YLR190W	0
YPL153C	YDR150W	0
YFR028C	YLR079W	1
YLR096W	YGL100W	0
YDR422C	YJL066C	NA
YGR040W	YKL161C	NA
YOR208W	YOL041C	1
YAL017W	YPR160W	0
YBL016W	YLR342W	0
YPL042C	YDR299W	0
YJL057C	YDR206W	0
YER133W	YOR329C	1
YER133W	YPL211W	1
YHL032C	YER062C	NA
YJL095W	YHR186C	0
YHR099W	YGL112C	NA
YER133W	YPL137C	1
YNL207W	YDR299W	0
YPL180W	YKR048C	NA
YHR099W	YBR081C	NA
YGR052W	YHR186C	0
YDR523C	YGL202W	0
YDL155W	YPR110C	NA
YPL219W	YLR258W	NA
YNL307C	YOL083W	0
YAL017W	YER054C	0
YHR082C	YNL006W	0
YPL204W	YML111W	0
YPL203W	YDR404C	0
YER133W	YDR475C	1
YNL183C	YDL173W	0
YNL307C	YNL229C	0
YJL106W	YNL006W	0
YDR422C	YOR027W	NA
YOR061W	YHR052W	0
YDL079C	YPR019W	0
YGR052W	YJL076W	0
YKL126W	YER093C	0
YLR113W	YOL123W	0
YJL095W	YMR290C	0
YDL188C	YMR214W	1
YER133W	YIL070C	1
YAL040C	YGL120C	NA
YDL155W	YDR216W	NA
YCL024W	YKR048C	0
YER133W	YBR275C	1
YKL198C	YHR019C	0
YNL183C	YHR186C	0
YGL190C	YIL142W	NA
YJL057C	YGR250C	0
YNL025C	YDR216W	NA
YGR040W	YGR097W	0
YBR093C	YCL043C	NA
YNL183C	YML006C	0
YBL105C	YBL037W	0
YNL307C	YDR497C	0
YDR507C	YJR076C	0
YKL139W	YCR046C	0
YCL024W	YDL225W	0
YPL026C	YNR016C	0
YDR247W	YJL005W	0
YDR122W	YER167W	0
YDL028C	YGR179C	0
YNL207W	YMR068W	0
YNL025C	YER132C	NA
YBL009W	YOL041C	0
YDR247W	YPR115W	0
YDL108W	YLR005W	0
YNL307C	YKL064W	0
YJL095W	YNL061W	0
YDR283C	YPR115W	0
YJL098W	YFL024C	NA
YIR026C	YMR229C	1
YHR099W	YDR145W	NA
YDL028C	YDR211W	0
YLR096W	YER167W	0
YIL095W	YBL007C	0
YJL095W	YER015W	0
YDR507C	YKR048C	0
YOR061W	YPR181C	0
YLR433C	YKL159C	1
YHR102W	YLR180W	0
YDL155W	YGL197W	NA
YER133W	YKR081C	1
YPL204W	YBL051C	0
YDR466W	YDR299W	0
YGL158W	YPR168W	0
YNL161W	YER033C	0
YGL190C	YCL043C	NA
