A	B	sign
YLL019C	YBR142W	0
YNR031C	YLR006C	0
YJL095W	YGR090W	0
YDL108W	YDR460W	0
YGR052W	YBL085W	0
YHR030C	YMR276W	0
YOR061W	YJL076W	0
YPL203W	YIL021W	0
YHR099W	YMR236W	NA
YJL095W	YLL008W	0
YOR109W	YGL206C	NA
YPL203W	YGR116W	0
YHL007C	YDR206W	0
YGR052W	YER025W	0
YDL155W	YLR310C	NA
YPL153C	YGR071C	0
YJL164C	YER054C	0
YLR433C	YMR205C	1
YLR096W	YBL104C	0
YNL207W	YBR084W	0
YLR410W	YDR148C	NA
YOR267C	YPL260W	0
YJL095W	YJL209W	0
YIL045W	YLR347C	NA
YMR001C	YMR076C	0
YER133W	YIL154C	1
YJL095W	YKL161C	NA
YER129W	YDL042C	0
YER133W	YGR097W	1
YNL207W	YPR115W	0
YJL141C	YLR342W	0
YIL106W	YDL160C	NA
YHR102W	YGR240C	0
YBL056W	YBR039W	1
YGL158W	YMR223W	0
YGR108W	YBR135W	NA
YAR018C	YML006C	0
YMR139W	YER132C	0
YIL035C	YOR341W	0
YPL026C	YCL017C	0
YJR066W	YBL103C	0
YPL203W	YOR151C	0
YGL019W	YER155C	NA
YIL106W	YPR191W	NA
YNL207W	YGR267C	0
YLR113W	YKL081W	0
YER133W	YER177W	1
YBL016W	YDR480W	0
YDL214C	YDR439W	0
YPR120C	YBL023C	NA
YOR267C	YHR052W	0
YOL128C	YHR121W	0
YJL095W	YKR081C	0
YGR161C	YKR028W	NA
YOR208W	YDR216W	1
YHR102W	YLR368W	0
YKL198C	YOR298CA	0
YPL203W	YJL140W	0
YDR247W	YBL066C	0
YOR231W	YGR196C	0
YDL028C	YPL124W	0
YDL028C	YLL003W	0
YNL053W	YDR356W	1
YJR059W	YGR162W	0
YER133W	YER167W	1
YHR099W	YLR055C	NA
YDL047W	YDR188W	1
YPR161C	YGL195W	0
YJL095W	YDR251W	0
YLR096W	YGR238C	0
YIR026C	YPR029C	1
YJL095W	YKR024C	0
YGR052W	YBL079W	0
YJL128C	YIL070C	0
YPL153C	YCR002C	0
YBL056W	YCR009C	1
YJL095W	YPL043W	0
YNL020C	YCR088W	0
YKL198C	YGL173C	0
YIL095W	YGR241C	0
YPR120C	YDR130C	NA
YGL190C	YML109W	NA
YOR267C	YLL008W	0
YBL009W	YLR196W	0
YNL183C	YER161C	0
YHR102W	YDR328C	0
YPL180W	YHR186C	NA
YER133W	YPL237W	1
YFR028C	YBL085W	1
YOL045W	YLR180W	0
YOR267C	YDL014W	0
YPL153C	YGR270W	0
YNL298W	YNL004W	0
YPL203W	YGR005C	0
YBR093C	YGR282C	NA
YBL105C	YBL007C	0
YGL208W	YGL115W	NA
YNL020C	YIR006C	0
YGR052W	YDL042C	0
YKL139W	YCL011C	0
YBL016W	YDR216W	0
YBR274W	YPR010C	0
YKL198C	YMR229C	0
YPR120C	YGL113W	NA
YDL028C	YJR112W	0
YGR052W	YOR341W	0
YLL019C	YPL043W	0
YOL016C	YBL047C	0
YHR030C	YJL066C	0
YKL168C	YDR177W	0
YKL101W	YKR048C	0
YDR247W	YPL217C	0
YPL140C	YCR009C	0
YPL204W	YGL156W	0
YAL040C	YNL189W	NA
YIL106W	YDR127W	NA
YOR267C	YKR092C	0
YPL026C	YNL042W	0
YIR026C	YKL023W	1
YPL256C	YLR386W	NA
YDL134C	YAL016W	1
YJL106W	YGR097W	0
YDL155W	YOR372C	NA
YHR030C	YPR047W	0
YLR096W	YHL023C	0
YPL203W	YGL197W	0
YJL095W	YIL105C	0
YNL298W	YLR342W	0
YNL307C	YJR138W	0
YKL139W	YGR090W	0
YPL204W	YOL083W	0
YDL047W	YGR184C	1
YJL095W	YPL012W	0
YLR362W	YCL032W	0
YOR061W	YGR097W	0
YPL179W	YFR003C	1
YBR136W	YAR007C	0
YNL307C	YOL054W	0
YDL028C	YBR211C	0
YGR161C	YAL016W	NA
YGR188C	YNL265C	0
YHR076W	YDR497C	1
YHR102W	YJL008C	0
YJL098W	YHR186C	NA
YLR113W	YMR276W	0
YPL203W	YGL070C	0
YPL153C	YNL166C	0
YLL019C	YOR017W	0
YML016C	YKL088W	1
YDL155W	YOR341W	NA
YJL187C	YHR158C	0
YDL155W	YOR081C	NA
YFR028C	YKR010C	1
YDL230W	YER160C	1
YIL106W	YKL080W	NA
YDL047W	YKL080W	1
YHR030C	YOL123W	0
YJR110W	YDL140C	NA
YPL203W	YOR210W	0
YLR248W	YPL078C	0
YPL109C	YDL066W	NA
YGL158W	YDR145W	0
YLR210W	YBR135W	NA
YGL158W	YNL107W	0
YML016C	YKR072C	1
YML036W	YMR319C	NA
YIL095W	YBR109C	0
YOR267C	YKL172W	0
YOR090C	YKR048C	1
YER123W	YOL083W	0
YPR120C	YLL004W	NA
YNL020C	YOR326W	0
YKR038C	YJL184W	NA
YFR028C	YER177W	1
YLR362W	YGR162W	0
YGL190C	YJL014W	NA
YLR362W	YLR223C	0
YDR247W	YGR200C	0
YGR052W	YDR216W	0
YJR066W	YHR186C	0
YJR144W	YCR028CA	NA
YLR096W	YBL085W	0
YGL158W	YDR308C	0
YJL098W	YNL107W	NA
YOR233W	YKR081C	0
YOR109W	YMR012W	NA
YLR096W	YOL083W	0
YGR040W	YDR480W	0
YBR274W	YJL076W	0
YLL019C	YEL055C	0
YDL134C	YPL235W	1
YPL031C	YGR233C	0
YDL028C	YER018C	0
YNL053W	YBR109C	1
YGL158W	YNL236W	0
YPL204W	YLL001W	0
YJR110W	YOR151C	NA
YPL204W	YPR049C	0
YOL001W	YKL103C	NA
YOL016C	YCR030C	0
YML036W	YER078C	NA
YJR059W	YBR084W	0
YGR040W	YPR115W	0
YLR096W	YDR239C	0
YGR092W	YJL076W	0
YJR066W	YNL006W	0
YJL057C	YNL007C	0
YBL016W	YHR084W	0
YHR099W	YBR111WA	NA
YGR109C	YOL054W	NA
YCR079W	YGR193C	1
YJL187C	YHR012W	0
YFR028C	YDR239C	1
YER133W	YLR449W	1
YDR422C	YGL115W	NA
YDL017W	YDR052C	0
YDR122W	YFL034CB	0
YPR025C	YLR347C	NA
YKL139W	YDR432W	0
YLR113W	YOR198C	0
YDL159W	YDR356W	0
YHR099W	YGR002C	NA
YBR274W	YKR010C	0
YNL307C	YOL130W	0
YBR059C	YNL243W	0
YHR099W	YPR023C	NA
YLR096W	YOL054W	0
YHR135C	YJL041W	0
YGL180W	YPR185W	0
YER133W	YJR007W	1
YNL307C	YHL023C	0
YPR106W	YDR206W	0
YPL153C	YLR314C	0
YDR436W	YKR072C	1
YLR096W	YEL062W	0
YJL187C	YBR133C	0
YDL028C	YFR046C	0
YDL155W	YPR010C	NA
YDL028C	YOR373W	0
YPL204W	YOL082W	0
YHR030C	YPL049C	0
YDL155W	YKR010C	NA
YGR092W	YNL085W	0
YGR109C	YLR079W	NA
YHR099W	YCL010C	NA
YOR267C	YNL002C	0
YPR054W	YDL085W	0
YDL134C	YGR142W	1
YNL161W	YGR162W	0
YDR466W	YOR201C	0
YOL113W	YDR381W	0
YJL141C	YMR295C	0
YFR028C	YOL078W	1
YNL020C	YHR161C	0
YDL028C	YIL144W	0
YIL106W	YGR240C	NA
YOR119C	YGR068C	0
YPR120C	YLR079W	NA
YDL047W	YIL142W	1
YDL101C	YDR032C	0
YBL016W	YPR115W	0
YJR066W	YNL076W	0
YIR026C	YOL063C	1
YNL207W	YPR164W	0
YDR247W	YGR237C	0
YGL158W	YDR443C	0
YCR091W	YMR205C	0
YDL101C	YOL082W	0
YJL095W	YLR196W	0
YGL229C	YNL006W	NA
YGL158W	YPL016W	0
YHL032C	YIL053W	NA
YNR032W	YAL016W	1
YIL113W	YER155C	1
YJL098W	YNL006W	NA
YER123W	YNL049C	0
YJL128C	YLR006C	0
YAR018C	YNL077W	0
YOL128C	YLL013C	0
YPR106W	YML117W	0
YPL031C	YJL181W	0
YPR161C	YER006W	0
YLR362W	YDR206W	0
YMR001C	YFL008W	0
YOR061W	YGL207W	0
YFR028C	YDL149W	1
YKL203C	YNL006W	NA
YOR267C	YML006C	0
YER123W	YBR084W	0
YNR047W	YER105C	0
YGL158W	YOR174W	0
YPR161C	YCL011C	0
YGL158W	YFL049W	0
YGR052W	YJR138W	0
YHR099W	YDR176W	NA
YJR110W	YOL054W	NA
YGL158W	YDR448W	0
YML016C	YFR003C	1
YOR231W	YLL021W	0
YLL019C	YNL189W	0
YDL155W	YBL085W	NA
YKL198C	YIL125W	0
YNL020C	YNL243W	0
YPR119W	YDR424C	NA
YGR040W	YER167W	0
YJL057C	YML117W	0
YBR274W	YMR270C	0
YGL180W	YBR018C	0
YGR040W	YBR083W	0
YDL047W	YMR028W	1
YPL256C	YNL074C	NA
YER133W	YGR103W	1
YDL159W	YMR276W	0
YDR466W	YDR251W	0
YOR267C	YDR381W	0
YGL158W	YPR070W	0
YDL047W	YJL014W	1
YML016C	YPR005C	1
YKL203C	YOL078W	NA
YLR433C	YMR246W	1
YML036W	YJL184W	NA
YIL035C	YKR010C	0
YER133W	YDR195W	1
YFR028C	YDR439W	1
YJL164C	YDR404C	0
YDL159W	YPL124W	0
YER133W	YFR003C	1
YJL057C	YNL112W	0
YDR466W	YLR196W	0
YLR113W	YGR097W	0
YPL209C	YJR089W	0
YBR093C	YBR039W	NA
YIL106W	YER028C	NA
YER133W	YOR294W	1
YOR061W	YNL076W	0
YPR111W	YNL085W	0
YJR057W	YMR270C	NA
YGL158W	YCL010C	0
YCR073C	YDR170C	0
YPL203W	YLR310C	0
YGL119W	YDL143W	0
YNR031C	YBL064C	0
YPL150W	YKR048C	0
YPL203W	YKL062W	0
YOR267C	YLR002C	0
YNL207W	YHR121W	0
YDL028C	YLR381W	0
YOR061W	YDL149W	0
YNL307C	YLR072W	0
YOL001W	YGR233C	NA
YOR061W	YCR086W	0
YPL204W	YFR015C	0
YJL095W	YOL041C	0
YBR274W	YDR168W	0
YBL088C	YNL265C	0
YPL042C	YOR198C	0
YHR135C	YJL061W	0
YIL106W	YLR180W	NA
YDR247W	YOL116W	0
YDL159W	YBR010W	0
YPL153C	YPL128C	0
YPL042C	YER155C	0
YMR216C	YCL011C	0
YPR106W	YBR038W	0
YML057W	YKL190W	1
YJL164C	YIL021W	0
YLR096W	YKL161C	NA
YPL109C	YGL173C	NA
YNL161W	YIL105C	0
YCR079W	YFL018C	1
